Date,Close,High,Low,Open,Volume,Return,MA_10,MA_50,Volatility_10,Volatility_30,RSI,MACD,MACD_Signal
1980-05-29,2.18183708190918,2.18183708190918,2.18183708190918,2.18183708190918,0,0.0,2.158249759674072,1.9713192772865296,0.012999127697014121,0.010337939896708979,68.57134671917017,0.06299981883360006,0.0637584300683817
1980-05-30,2.174466609954834,2.2039509145482605,2.174466609954834,2.18183775178091,6540,-0.003378103716111025,2.1619353771209715,1.978395504951477,0.013103994426384031,0.010405510160581386,65.71421178266692,0.0601081926579794,0.06302838258630124
1980-06-02,2.18183708190918,2.211321377450282,2.18183708190918,2.18183708190918,934,0.0033895539810102626,2.1715178251266485,1.9856191420555114,0.009428272157943254,0.009724924410599444,60.00000000000008,0.05774563780269171,0.06197183362957934
1980-06-03,2.18183708190918,2.211321377450282,2.18183708190918,2.18183708190918,18686,0.0,2.17888879776001,1.991958270072937,0.009265760063978183,0.009724924410599444,60.00000000000008,0.055236563339971845,0.06062477957165784
1980-06-04,2.189208030700684,2.2186923236724727,2.189208030700684,2.189208030700684,8409,0.00337832226458179,2.1825742483139043,1.9982973861694335,0.006956603730707815,0.009685747265298437,61.29029565449666,0.05322928366918589,0.059145680391163455
1980-06-05,2.189208030700684,2.189208030700684,2.189208030700684,2.189208030700684,0,0.0,2.1847855806350713,2.0049313497543335,0.0067290898265425034,0.009325706711213222,61.29029565449666,0.05105002713316642,0.05752654973956405
1980-06-06,2.203951120376587,2.233435690434473,2.203951120376587,2.203951120376587,2803,0.006734439792450475,2.1884712219238285,2.0118601751327514,0.006947319895096031,0.009315895936012009,80.76933603371832,0.04993695264595077,0.0560086303208414
1980-06-09,2.2260642051696777,2.2555485079769206,2.2260642051696777,2.2260642051696777,8409,0.010033382586684736,2.192156839370728,2.019673502445221,0.006924294042677024,0.009355826890694476,80.7691685669465,0.05025981042269789,0.0548588663412127
1980-06-10,2.2334349155426025,2.2629192126599875,2.2334349155426025,2.2334349155426025,2803,0.003311095140835274,2.194368124008179,2.027781677246094,0.006314117720490521,0.009265608356335,76.19038084177646,0.05052797719579383,0.053992688512128933
1980-06-11,2.2334349155426025,2.2334349155426025,2.2334349155426025,2.2334349155426025,0,0.0,2.1995279073715213,2.0358898520469664,0.0038904523793973095,0.009065136309054561,73.68428220497535,0.050162261964506794,0.053226603202604514
1980-06-12,2.2334349155426025,2.2334349155426025,2.2334349155426025,2.2334349155426025,0,0.0,2.2046876907348634,2.0445877265930177,0.0038904523793973095,0.009089498034617357,73.68428220497535,0.04930408322814772,0.05244209920771316
